HEALTHFACTORTYPE,SmokingFactor
TOBACCO CURRENT USER (NOT READY TO QUIT),CURRENT SMOKER
TOBACCO CURRENT USER (READY TO QUIT),CURRENT SMOKER
TOBACCO CURRENT USER (UNABLE TO ASSESS),CURRENT SMOKER
TOBACCO CURRENT USER (WANTS TO QUIT),CURRENT SMOKER
TOBACCO CURRENT USER INPATIENT,CURRENT SMOKER
TOBACCO DATA ENTRY VIA AHS,unknown
TOBACCO DECLINED CLASS,unknown
TOBACCO DECLINED MEDS,CURRENT SMOKER
TOBACCO DECLINED STOP SMOKING CLINIC,CURRENT SMOKER
TOBACCO DECLINES REFERRAL,CURRENT SMOKER
TOBACCO DECREASED - DISCHARGE,UNKNOWN
TOBACCO DIRECT COUNSELING,CURRENT SMOKER
TOBACCO DISCHARGE DONE,UNKNOWN
Tobacco Discharge Plan,CURRENT SMOKER
TOBACCO DISCHARGE POS USE,CURRENT SMOKER
TOBACCO DO NOT CONTACT,UNKNOWN
"TOBACCO DURATION, BONE/STONE",UNKNOWN
TOBACCO ED DONE,unknown
TOBACCO EDUCATION,CURRENT SMOKER
TOBACCO EDUCATION DECLINED,CURRENT SMOKER
TOBACCO EDUCATION NOT APPLIC,UNKNOWN
TOBACCO EDUCATION PROVIDED,CURRENT SMOKER
Tobacco education refused,CURRENT SMOKER
TOBACCO EDUCATION(PROVIDER)COUNSELED,CURRENT SMOKER
TOBACCO EDUCATION(PROVIDER)NA,UNKNOWN
TOBACCO ENROLLED IN SCP,unknown
TOBACCO ER,UNKNOWN
TOBACCO EXPOSURE,UNKNOWN
TOBACCO F/U BY PCP REQUIRED,unknown
TOBACCO F/U COUNSELING (NEXT VISIT),CURRENT SMOKER
TOBACCO F/U REMINDER COMPLETED,UNKNOWN
TOBACCO FORMER USER,FORMER SMOKER
TOBACCO FORMER USER (no use within 7yrs),FORMER SMOKER
TOBACCO FORMER USER (quit < 1 yr),FORMER SMOKER
TOBACCO FORMER USER (quit 1-7 yrs ago),FORMER SMOKER
TOBACCO FORMER USER (QUIT WITHIN 7YRS),FORMER SMOKER
TOBACCO FORMER USER (UNSPECIFIED),FORMER SMOKER
TOBACCO FORMER USER (use within 7yrs),FORMER SMOKER
TOBACCO FORMER USER < 12 MONTHS,FORMER SMOKER
TOBACCO FORMER USER < 7 YEARS,FORMER SMOKER
TOBACCO FORMER USER > 7 YEARS,FORMER SMOKER
TOBACCO FORMER USER >7 YEARS,FORMER SMOKER
TOBACCO FORMER USER 1-7 YEARS,FORMER SMOKER
TOBACCO FORMER USER 7 YEARS OR MORE,FORMER SMOKER
TOBACCO FORMER USER DATE QUIT,FORMER SMOKER
TOBACCO FORMER USER LESS 12 MONTHS,FORMER SMOKER
TOBACCO FORMER USER MORE 12 MONTHS,FORMER SMOKER
"TOBACCO FREE BROCHURE, HEALTHY LIVING",UNKNOWN
"TOBACCO FREE NO, HEALTHY LIVING",UNKNOWN
"TOBACCO FREE YES, HEALTHY LIVING",CURRENT SMOKER
"TOBACCO FREE, HEALTHY LIVING",UNKNOWN
TOBACCO FROM AAA,UNKNOWN
TOBACCO FY 08,UNKNOWN
TOBACCO FY07,UNKNOWN
TOBACCO FY08,UNKNOWN
TOBACCO FY09,UNKNOWN
TOBACCO GJ,UNKNOWN
TOBACCO GREATER 5,UNKNOWN
TOBACCO GROUP CURRENT,CURRENT SMOKER
TOBACCO HELP CONTRAINDICATED,UNKNOWN
TOBACCO HELP NOT NEEDED,unknown
TOBACCO HF,UNKNOWN
TOBACCO HISTORICAL USE,UNKNOWN
TOBACCO HISTORY,UNKNOWN
TOBACCO HISTORY-SD.SMITH,UNKNOWN
Tobacco How Much,unknown
TOBACCO HX - UNABLE TO ASSESS,unknown
TOBACCO II,UNKNOWN
TOBACCO INCREASED - DISCHARGE,CURRENT SMOKER
TOBACCO INDIVIDUAL CONSULT,CURRENT SMOKER
TOBACCO INDY,UNKNOWN
TOBACCO INPATIENT,UNKNOWN
TOBACCO INPATIENT COUNSELING GIVEN,CURRENT SMOKER
TOBACCO INPATIENT COUNSELING REFUSED,CURRENT SMOKER
TOBACCO INPATIENT DECLINES MEDS,CURRENT SMOKER
TOBACCO INPATIENT DESIRES MEDS,CURRENT SMOKER
TOBACCO INPATIENT MEDS CONTRAINDICATED,UNKNOWN
TOBACCO INPATIENT MEDS ORDERED,CURRENT SMOKER
TOBACCO INPATIENT MEDS REFUSED,CURRENT SMOKER
TOBACCO INPATIENT NO USE 30 DAYS,UNKNOWN
TOBACCO INPATIENT REFERRAL CURRENT,CURRENT SMOKER
TOBACCO INPATIENT REFERRAL ORDERED,CURRENT SMOKER
TOBACCO INPATIENT REFERRAL REFUSED,CURRENT SMOKER
TOBACCO INPATIENT SCREEN,UNKNOWN
TOBACCO INPT,UNKNOWN
TOBACCO INPT ALTERED LEVEL OF CONCIOUS,UNKNOWN
TOBACCO INPT ALTERED MENTAL STATUS,UNKNOWN
TOBACCO INPT BASIC INFO PROVIDED,CURRENT SMOKER
TOBACCO INPT COGNITIVE IMPAIRMENT,UNKNOWN
TOBACCO INPT COGNITIVELY IMPAIRED,UNKNOWN
TOBACCO INPT CONSULT-PHARM DECLINED,UNKNOWN
TOBACCO INPT COUNSELING -ADVICE GIVEN,CURRENT SMOKER
TOBACCO INPT COUNSELING- GAVE LITERATURE,CURRENT SMOKER
TOBACCO INPT COUNSELING- VIDEO OFFERED,CURRENT SMOKER
TOBACCO INPT NOT INTERESTED IN QUITTING,CURRENT SMOKER
TOBACCO INPT PT DECLINE COUNSELING,CURRENT SMOKER
TOBACCO INPT USER= NO LIFETIME NON-USER,unknown
TOBACCO INPT USER= QUIT LESS THAN 1Y AGO,FORMER SMOKER
TOBACCO INPT USER= QUIT MORE THAN 1Y AGO,FORMER SMOKER
TOBACCO INPT USER= YES,CURRENT SMOKER
TOBACCO INQUIRY NEGATIVE,unknown
TOBACCO INQUIRY POSTITVE,unknown
TOBACCO INTERVENTION,UNKNOWN
TOBACCO INTERVENTION REFUSED AT D/C,CURRENT SMOKER
TOBACCO INTERVENTIONS,CURRENT SMOKER
Tobacco Issue to be Addressed by PCP,CURRENT SMOKER
Tobacco Last TX,unknown
TOBACCO LAST USED DATE,UNKNOWN
TOBACCO LESS 5,UNKNOWN
TOBACCO LIFELONG NON USER,NEVER SMOKER
TOBACCO LIFELONG NON-USER,NEVER SMOKER
TOBACCO LIFETIME NON USER,NEVER SMOKER
TOBACCO LIFETIME NON-SMOKER,NEVER SMOKER
TOBACCO LIFETIME NON-TOBACCO USER,NEVER SMOKER
TOBACCO LIFETIME NON-TOBACCO USER *HF,NEVER SMOKER
TOBACCO LIFETIME NONUSER,NEVER SMOKER
TOBACCO LIFETIME NON-USER,NEVER SMOKER
TOBACCO LIFETIME NON-USER (ER),NEVER SMOKER
TOBACCO LIFETIME NON-USER (NEVER USED),NEVER SMOKER
TOBACCO LIPID CLINIC,UNKNOWN
TOBACCO MA,UNKNOWN
TOBACCO MAINTENANCE STAGE,unknown
TOBACCO MED/TREATMENT CESSATION,CURRENT SMOKER
TOBACCO MEDICATION,CURRENT SMOKER
TOBACCO MEDICATION CONTRAINDICATION,UNKNOWN
TOBACCO MEDICATION DECLINED,CURRENT SMOKER
TOBACCO MEDICATION DECLINED INPT,CURRENT SMOKER
TOBACCO MEDICATION INTERVENTION,CURRENT SMOKER
TOBACCO MEDICATION OFFERED INPT PROVIDER,CURRENT SMOKER
TOBACCO MEDICATION ORDERED,CURRENT SMOKER
TOBACCO MEDICATION PRESCRIBED,CURRENT SMOKER
TOBACCO MEDICATION REFERRAL,CURRENT SMOKER
TOBACCO MEDICATION REFERRAL DECLINED,CURRENT SMOKER
TOBACCO MEDICATION REFERRAL INPATIENT,CURRENT SMOKER
TOBACCO MEDICATION REFERRAL YES,CURRENT SMOKER
TOBACCO MEDICATION REFUSAL,CURRENT SMOKER
TOBACCO MEDICATIONS,CURRENT SMOKER
TOBACCO MEDICATIONS OFFERED,CURRENT SMOKER
TOBACCO MEDICATIONS OFFERED (PROVIDER),CURRENT SMOKER
TOBACCO MEDS ADDRESSED,CURRENT SMOKER
TOBACCO MEDS CONTRAINDICATED,UNKNOWN
TOBACCO MEDS DECLINED-INPT RN,CURRENT SMOKER
TOBACCO MEDS NON PROVIDER,CURRENT SMOKER
TOBACCO MEDS NO-SHOW/NO RESPONSE,CURRENT SMOKER
TOBACCO MEDS NOT NECESSARY (<5CIG/DAY),FORMER SMOKER
TOBACCO MEDS NOT OFFERED,CURRENT SMOKER
TOBACCO MEDS OFFER DECLINED,CURRENT SMOKER
TOBACCO MEDS OFFERED,CURRENT SMOKER
TOBACCO MEDS OFFERED BUT DECLINED,CURRENT SMOKER
TOBACCO MEDS OFFERED BY PROVIDER,CURRENT SMOKER
TOBACCO MEDS OFFERED/DECLINED,CURRENT SMOKER
TOBACCO MEDS PHARM.C/S-INPT,CURRENT SMOKER
TOBACCO MEDS REFUSED,CURRENT SMOKER
TOBACCO MEDS REQUESTED,CURRENT SMOKER
TOBACCO MEDS REVIEWED,CURRENT SMOKER
TOBACCO MEDS TO BE ORDERED BY PROVIDER,CURRENT SMOKER
TOBACCO MEDS USED IN THE PAST YEAR,CURRENT SMOKER
TOBACCO N,UNKNOWN
TOBACCO N/A - DISCHARGE,UNKNOWN
TOBACCO NEG SCREEN (INPT),UNKNOWN
TOBACCO NEVER USED,NEVER SMOKER
TOBACCO NEW,UNKNOWN
TOBACCO NO CHANGE - DISCHARGE,UNKNOWN
TOBACCO NO REFERRAL,UNKNOWN
TOBACCO NO USE - DISCHARGE,UNKNOWN
TOBACCO NO USE - INITIAL,UNKNOWN
TOBACCO NO USE FOR 30 DAYS,UNKNOWN
"TOBACCO NO, BONE/STONE",UNKNOWN
TOBACCO NON TOBACCO USER  > 5YR *HF,UNKNOWN
TOBACCO NON USE < 12 MONTHS,FORMER SMOKER
TOBACCO NON USE < 7 YEARS,UNKNOWN
TOBACCO NON USE > 7 YEARS,UNKNOWN
TOBACCO NON USE 12 MONTHS,UNKNOWN
TOBACCO NON USE 12 MONTHS TO 7 YEARS,UNKNOWN
TOBACCO NON USE 7 YEARS,UNKNOWN
TOBACCO NON USE GREATER THAN 12 MONTHS,unknown
TOBACCO NON USE LESS THAN 12 MONTHS,unknown
TOBACCO NON USER,UNKNOWN
TOBACCO NON USER < 12 MO *HF,UNKNOWN
TOBACCO NON USER > 7 YRS *HF,UNKNOWN
TOBACCO NON USER 1-7 YRS *HF,unknown
TOBACCO NONE PAST 12 MONTHS,UNKNOWN
TOBACCO NONE PAST MONTH-INPT,UNKNOWN
TOBACCO NONE PAST MONTH-INPT-ADM,UNKNOWN
TOBACCO NONE PAST MONTH-INPT-DISCHARGE,UNKNOWN
"TOBACCO NONE, VASCULAR",UNKNOWN
TOBACCO NON-USE FOR 1 YEAR,UNKNOWN
TOBACCO NON-USE REINFORCED,unknown
TOBACCO NON-USER,unknown
TOBACCO NONUSER - SELF REPORT,UNKNOWN
TOBACCO NON-USER <12M,UNKNOWN
TOBACCO NON-USER > 12 MOS,UNKNOWN
TOBACCO NON-USER CURRENT (<7 years),UNKNOWN
TOBACCO NON-USER INPT,UNKNOWN
TOBACCO NOT SMOKE > 7 YEARS,UNKNOWN
TOBACCO NOT USED <1 YEAR (1),UNKNOWN
TOBACCO NOT USED <1 YEAR (2),UNKNOWN
TOBACCO NOT USED <1 YEAR (3),UNKNOWN
TOBACCO NOT USED <7 YEARS (1),UNKNOWN
TOBACCO NOT USED <7 YEARS (2),UNKNOWN
TOBACCO NOT USED <7 YEARS (3),UNKNOWN
TOBACCO NOT USED >1 YEAR,UNKNOWN
TOBACCO NOT USED >7 YEARS,UNKNOWN
TOBACCO NOT USED IN PAST 30 DAYS,UNKNOWN
TOBACCO NOT USED PAST 30 DAYS,UNKNOWN
TOBACCO NOT WILLING TO QUIT NOW,CURRENT SMOKER
TOBACCO NURSE COUNSELING DONE,CURRENT SMOKER
TOBACCO OFFER CESSATION MEDS,CURRENT SMOKER
TOBACCO OFFER CESSATION PROGRAM,CURRENT SMOKER
TOBACCO OFFER MEDS-USING NON VA PRODUCT,CURRENT SMOKER
TOBACCO OFFERE,UNKNOWN
TOBACCO OFFERED CESSATION REFERRAL,CURRENT SMOKER
TOBACCO OFFERED CVT CLINIC,unknown
TOBACCO OFFERED MEDS NON-PROVIDER,CURRENT SMOKER
TOBACCO OFFERED MEDS OTHER,CURRENT SMOKER
TOBACCO OFFERED MEDS PT REFUS (NON-PROV),CURRENT SMOKER
TOBACCO OFFERED PT MED BUT WERE DECLINED,CURRENT SMOKER
TOBACCO OFFERED PT MEDS (CLINICIAN),CURRENT SMOKER
TOBACCO OFFERED PT MEDS (MD/NP/PA),CURRENT SMOKER
TOBACCO OFFERED PT MEDS (NON-PROV) INPT,CURRENT SMOKER
TOBACCO OFFERED PT MEDS (NON-PROVIDER),CURRENT SMOKER
TOBACCO OFFERED PT MEDS (PROVIDER),CURRENT SMOKER
TOBACCO OFFERED PT MEDS (PROVIDER)1,CURRENT SMOKER
TOBACCO OFFERED REFERRAL (PROVIDER),CURRENT SMOKER
TOBACCO OFFERED STOP SMOKE CLINIC/NURSE,CURRENT SMOKER
TOBACCO OFFERED STOP SMOKING (OC 5-4-12),CURRENT SMOKER
TOBACCO OFFERED STOP SMOKING (PROVIDER),CURRENT SMOKER
TOBACCO OFFERED STOP SMOKING CLINIC,CURRENT SMOKER
TOBACCO OFFERED STOP SMOKING CLINIC CLE,CURRENT SMOKER
TOBACCO OFFERED STOP SMOKING CLINIC GJ,CURRENT SMOKER
TOBACCO OFFERED STOP SMOKING CLINIC GJ2,CURRENT SMOKER
TOBACCO OFFERED STOP SMOKING CLINIC INPT,CURRENT SMOKER
TOBACCO OFFERED STOP SMOKING CLINIC MD,CURRENT SMOKER
TOBACCO OFFERED STOP SMOKING CLINIC RN,CURRENT SMOKER
TOBACCO OFFERED STOP SMOKING CLINIC1,CURRENT SMOKER
TOBACCO OFFERED STOP SMOKING CONSULT,CURRENT SMOKER
TOBACCO OFFERED STOP SMOKING MEDS,CURRENT SMOKER
TOBACCO OFFERRED PT MEDS (PRESCRIBER),CURRENT SMOKER
TOBACCO OFFERRED PT MEDS (PROVIDER),CURRENT SMOKER
TOBACCO OFFERRED PT MEDS/DECLINED,CURRENT SMOKER
TOBACCO OFFERRED STOP SMOKING CLIN,CURRENT SMOKER
TOBACCO OFFERRED STOP SMOKING CLINIC,CURRENT SMOKER
TOBACCO ONE DAY DELAY,UNKNOWN
TOBACCO OTHER - DISCHARGE,UNKNOWN
TOBACCO OUTPATIENT,UNKNOWN
TOBACCO OUTPATIENT MEDS CONTRAINDICATED,UNKNOWN
TOBACCO OUTPATIENT MEDS ORDERED,CURRENT SMOKER
TOBACCO OUTPATIENT MEDS REFUSED,CURRENT SMOKER
TOBACCO PACK YEARS,UNKNOWN
TOBACCO PACK YEARS <30,UNKNOWN
TOBACCO PACK YEARS >29,CURRENT SMOKER
TOBACCO PAST ATTEMPTS TO QUIT REVIEWED,CURRENT SMOKER
TOBACCO PAST MONTH-INPT,UNKNOWN
TOBACCO PAST MONTH-INPT-ADM,UNKNOWN
TOBACCO PAST MONTH-INPT-DISCHARGE,UNKNOWN
TOBACCO PAST YEAR? NO,UNKNOWN
TOBACCO PAST YEAR? YES,CURRENT SMOKER
TOBACCO PAST-USER,FORMER SMOKER
TOBACCO PATIENT ACCEPTS CLINIC,CURRENT SMOKER
TOBACCO PATIENT ACCEPTS CLINIC IP,CURRENT SMOKER
TOBACCO PATIENT ACCEPTS MEDS,CURRENT SMOKER
TOBACCO PATIENT ACCEPTS MEDS IP,CURRENT SMOKER
TOBACCO PATIENT ACCEPTS MEDS RN,CURRENT SMOKER
TOBACCO PATIENT ACCEPTS MEDS RN IP,CURRENT SMOKER
TOBACCO PATIENT ACCPEPTS MEDS RN,CURRENT SMOKER
TOBACCO PATIENT DID NOT RECEIVE MEDS,CURRENT SMOKER
TOBACCO PATIENT DID RECEIVE MEDS,CURRENT SMOKER
TOBACCO PATIENT REFUSE MEDS,CURRENT SMOKER
TOBACCO PATIENT REFUSE MEDS IP,CURRENT SMOKER
TOBACCO PATIENT REFUSED CLINIC,CURRENT SMOKER
TOBACCO PATIENT REFUSED CLINIC IP,CURRENT SMOKER
TOBACCO PATIENT REFUSES MEDS IP,CURRENT SMOKER
TOBACCO PATIENT REFUSES TO QUIT,CURRENT SMOKER
TOBACCO PATIENT WILL SEEK OUTSIDE,UNKNOWN
Tobacco Pattern of use,unknown
TOBACCO PCP COUNSELING NEEDED (INPT),CURRENT SMOKER
TOBACCO PCP COUNSELLING DONE,CURRENT SMOKER
TOBACCO PCP COUNSELLING NEEDED,CURRENT SMOKER
TOBACCO PHONE COUNSELING,CURRENT SMOKER
TOBACCO PIPE SMOKER,UNKNOWN
TOBACCO PITT 2,UNKNOWN
TOBACCO POS SCREEN (INPT),CURRENT SMOKER
TOBACCO POST DC CONTACT ATTEMPT 1,UNKNOWN
TOBACCO POST DC CONTACT ATTEMPT 2,UNKNOWN
TOBACCO POST DC CONTACT ATTEMPT 3,UNKNOWN
TOBACCO POST DC CONTACT MADE,UNKNOWN
TOBACCO POST DISCHARGE CLASS,UNKNOWN
TOBACCO PRACTICAL COUNSELING INPT,CURRENT SMOKER
TOBACCO PRACTICAL COUNSELING NO,CURRENT SMOKER
TOBACCO PRACTICAL COUNSELING REFUSED,CURRENT SMOKER
TOBACCO PRECONTEMPLATION STAGE,unknown
TOBACCO PREP STAGE,unknown
TOBACCO PRESCRIPTIONS WRITTEN,CURRENT SMOKER
TOBACCO PRESCRIPTIONS WRITTEN INPT,CURRENT SMOKER
TOBACCO PREVIOUS USE <1 YR,FORMER SMOKER
TOBACCO PREVIOUS USE >1 YR,FORMER SMOKER
TOBACCO PREVIOUS USE GREATER THAN 1 YR,FORMER SMOKER
TOBACCO PREVIOUS USE LESS THAN 1 YR,FORMER SMOKER
TOBACCO PREVIOUS USER,FORMER SMOKER
TOBACCO PRODUCT USER,CURRENT SMOKER
TOBACCO PRODUCT USER COUNSELED,CURRENT SMOKER
TOBACCO PRODUCT USER COUNSELLED,CURRENT SMOKER
TOBACCO PRODUCTS USER ( YES ),CURRENT SMOKER
TOBACCO PRODUCTS USER (CURRENT),CURRENT SMOKER
TOBACCO PRODUCTS USER (N0),unknown
TOBACCO PRODUCTS USER (NEVER),NEVER SMOKER
TOBACCO PRODUCTS USER (NO),unknown
TOBACCO PRODUCTS USER (YES),CURRENT SMOKER
TOBACCO PRODUCTS USER INPT,UNKNOWN
TOBACCO PROVIDER COUNSELING,CURRENT SMOKER
TOBACCO PROVIDER COUNSELING REFUSED,CURRENT SMOKER
TOBACCO PT DECLINES DISCUSSION W/PROV,CURRENT SMOKER
TOBACCO PT DECLINES MEDS TO QUIT INPT,CURRENT SMOKER
TOBACCO PT DESIRES DISCUSSION W/PROVIDER,CURRENT SMOKER
TOBACCO PTH,UNKNOWN
TOBACCO Q4L,UNKNOWN
TOBACCO QUESTIONNAIRE COMPLETED,unknown
TOBACCO QUIT - DISCHARGE,FORMER SMOKER
TOBACCO QUIT >7Y OR LIFETIME NONUSER,unknown
TOBACCO QUIT >or=7Y OR LIFETIME NONUSER,unknown
TOBACCO QUIT 1 YEAR AGO,FORMER SMOKER
TOBACCO QUIT 1Y AGO,FORMER SMOKER
TOBACCO QUIT 2 YEARS AGO,FORMER SMOKER
TOBACCO QUIT 2Y AGO,FORMER SMOKER
TOBACCO QUIT 3 YEARS AGO,FORMER SMOKER
TOBACCO QUIT 3Y AGO,FORMER SMOKER
TOBACCO QUIT 4 YEARS AGO,FORMER SMOKER
TOBACCO QUIT 4Y AGO,FORMER SMOKER
TOBACCO QUIT 5 YEARS AGO,FORMER SMOKER
TOBACCO QUIT 5Y AGO,FORMER SMOKER
TOBACCO QUIT 6 YEARS AGO,FORMER SMOKER
TOBACCO QUIT 6Y AGO,FORMER SMOKER
TOBACCO QUIT 7Y AGO,FORMER SMOKER
TOBACCO QUIT DATE,CURRENT SMOKER
TOBACCO QUIT DATES,CURRENT SMOKER
TOBACCO QUIT INFO GIVEN,CURRENT SMOKER
TOBACCO QUIT LINE REFERRAL,CURRENT SMOKER
TOBACCO QUIT SMOKING PAST 30 DAYS,FORMER SMOKER
TOBACCO QUITTING DECLINES COUNSELING,CURRENT SMOKER
TOBACCO REFERRAL,CURRENT SMOKER
TOBACCO REFERRAL 1-800,CURRENT SMOKER
TOBACCO REFERRAL 1-800-QUIT-NOW,CURRENT SMOKER
TOBACCO REFERRAL CESSATION,CURRENT SMOKER
TOBACCO REFERRAL DECLINED,CURRENT SMOKER
TOBACCO REFERRAL NOT OFFERED,CURRENT SMOKER
TOBACCO REFERRAL REFUSED,CURRENT SMOKER
TOBACCO REFUSED MEDS,CURRENT SMOKER
TOBACCO REFUSED TO QUIT,CURRENT SMOKER
TOBACCO REFUSED TO QUIT IP,CURRENT SMOKER
TOBACCO REFUSED TREATMENT,CURRENT SMOKER
TOBACCO REMINDERS,UNKNOWN
TOBACCO REPLACEMENT,CURRENT SMOKER
TOBACCO REPLACEMENT MEDS DECLINED,CURRENT SMOKER
TOBACCO REPLACEMENT MEDS REQUESTED,CURRENT SMOKER
TOBACCO RESOLUTION CATEGORY,UNKNOWN
TOBACCO RESOLUTION CATEGORY(1),UNKNOWN
TOBACCO REV,UNKNOWN
TOBACCO REV1,UNKNOWN
TOBACCO SCREEN,unknown
TOBACCO SCREEN + ON ADMIT,UNKNOWN
TOBACCO SCREEN AND COUNSELING COMPLETED,CURRENT SMOKER
TOBACCO SCREEN COMPLETE,UNKNOWN
TOBACCO SCREEN COMPLETED,unknown
TOBACCO SCREEN CONTRAIND (PERM) - INPT,UNKNOWN
TOBACCO SCREEN CONTRAIND (PERM) - OUTPT,UNKNOWN
TOBACCO SCREEN CONTRAIND (TEMP) - INPT,UNKNOWN
TOBACCO SCREEN CONTRAIND (TEMP) - OUTP,UNKNOWN
TOBACCO SCREEN DECLINED (INPT),UNKNOWN
TOBACCO SCREEN DECLINED X2 (INPT),UNKNOWN
TOBACCO SCREEN DECLINES,UNKNOWN
TOBACCO SCREEN DONE,UNKNOWN
TOBACCO SCREEN DONE ELSEWHERE,unknown
TOBACCO SCREEN DONE ELSWHERE,UNKNOWN
TOBACCO SCREEN EXCLUDE-COGNITIVE IMPAIR,UNKNOWN
TOBACCO SCREEN EXCLUDE-COMFORT CARE ONLY,UNKNOWN
TOBACCO SCREEN EXCLUDE-REFUSED,UNKNOWN
TOBACCO SCREEN FY07 BROCHURE,unknown
TOBACCO SCREEN FY07 TACTICS WORKBOOK,UNKNOWN
TOBACCO SCREEN FY07 VIDEOTAPE,UNKNOWN
TOBACCO SCREEN FY09 BROCHURE,unknown
TOBACCO SCREEN FY09 TACTICS WORKBOOK,unknown
TOBACCO SCREEN FY09 VIDEOTAPE,unknown
TOBACCO SCREEN INPATIENT HF,UNKNOWN
TOBACCO SCREEN INPT,UNKNOWN
TOBACCO SCREEN NEGATIVE,UNKNOWN
TOBACCO SCREEN PERFORMED,UNKNOWN
TOBACCO SCREEN POSITIVE,CURRENT SMOKER
TOBACCO SCREEN POSITIVE=>PROV.NOTIFIED,CURRENT SMOKER
TOBACCO SCREEN REFUSED,UNKNOWN
TOBACCO SCREEN REFUSED (2),UNKNOWN
TOBACCO SCREEN REFUSED (3),UNKNOWN
TOBACCO SCREEN REFUSED *HF,UNKNOWN
TOBACCO SCREENING DONE,unknown
TOBACCO SCREEN-REFUSED,UNKNOWN
TOBACCO SCREEN-UNABLE TO ASSESS,unknown
TOBACCO SCREEN-UNABLE TO COMPLETE,UNKNOWN
TOBACCO SCRN CORRECTION-CURRENT SMOKER,CURRENT SMOKER
TOBACCO SCRN/COUNSEL DONE AT ANOTHER VA,UNKNOWN
TOBACCO SET QUIT DATE,CURRENT SMOKER
TOBACCO SET QUIT DATE (MD),CURRENT SMOKER
TOBACCO SMOKELESS,UNKNOWN
TOBACCO SMOKING CESSATION CLINIC,CURRENT SMOKER
TOBACCO SMOKING CONSULT ORDERED,unknown
TOBACCO SNUFF USER,UNKNOWN
Tobacco Status on Admit,UNKNOWN
TOBACCO STOP SMOKING CLINIC OFFERED,CURRENT SMOKER
TOBACCO STOP SMOKING CLINIC OFFERED IP,CURRENT SMOKER
TOBACCO STOP SMOKING CLINIC-PT AGREED,CURRENT SMOKER
TOBACCO STOP SMOKING CLINIC-PT REFUSED,CURRENT SMOKER
TOBACCO STOP SMOKING MEDS PT INTERESTED,CURRENT SMOKER
TOBACCO STOP SMOKING MEDS PT REFUSED,CURRENT SMOKER
TOBACCO STRATEGIES,CURRENT SMOKER
TOBACCO SUPPORT SYSTEM REVIEWED,CURRENT SMOKER
TOBACCO T,UNKNOWN
TOBACCO TACTICS MANUAL PROVIDED,UNKNOWN
TOBACCO TELEQUIT BH,CURRENT SMOKER
TOBACCO TELEQUIT CVT,CURRENT SMOKER
TOBACCO TELEQUIT GROPC,CURRENT SMOKER
TOBACCO TELEQUIT LANSING,CURRENT SMOKER
TOBACCO TELEQUIT MUSKEGON,CURRENT SMOKER
TOBACCO TERMINATION STAGE,unknown
TOBACCO TIDES,UNKNOWN
TOBACCO TIDES2,UNKNOWN
TOBACCO TREATMENT,unknown
TOBACCO TRIAL,UNKNOWN
TOBACCO TRIGGERS REVIEWED (INPT),UNKNOWN
TOBACCO TX PLAN/CESSATION GOALS,CURRENT SMOKER
TOBACCO TYPE OF PRODUCT USED,unknown
TOBACCO TYPE USED,UNKNOWN
TOBACCO UNABLE TO ANSWER,UNKNOWN
TOBACCO USAGE,UNKNOWN
TOBACCO USE,CURRENT SMOKER
Tobacco Use  *,UNKNOWN
TOBACCO USE - INITIAL,UNKNOWN
TOBACCO USE - NO,UNKNOWN
TOBACCO USE - UNRESPONSIVE,unknown
TOBACCO USE - YES,CURRENT SMOKER
TOBACCO USE #2,CURRENT SMOKER
TOBACCO USE #3,CURRENT SMOKER
TOBACCO USE <=4 PAST 30 DAYS,CURRENT SMOKER
TOBACCO USE <5 A DAY,CURRENT SMOKER
TOBACCO USE <5 A WEEK,CURRENT SMOKER
TOBACCO USE >=5 PAST 30 DAYS,CURRENT SMOKER
TOBACCO USE >5 A DAY,CURRENT SMOKER
TOBACCO USE AAA,UNKNOWN
TOBACCO USE BARRIER,UNKNOWN
TOBACCO USE CATEGORY,UNKNOWN
Tobacco Use Cessation consult requested,CURRENT SMOKER
TOBACCO USE CESSATION MEDS RXd,CURRENT SMOKER
TOBACCO USE CESSATION REFERRAL OFFERED,CURRENT SMOKER
TOBACCO USE CLASS,UNKNOWN
TOBACCO USE CONFIDENCE,UNKNOWN
TOBACCO USE COUNS BY PROV,CURRENT SMOKER
TOBACCO USE COUNSELED,CURRENT SMOKER
TOBACCO USE COUNSELING,CURRENT SMOKER
TOBACCO USE COUNSELING (NURSE),CURRENT SMOKER
TOBACCO USE COUNSELING 1,CURRENT SMOKER
TOBACCO USE COUNSELING 2,CURRENT SMOKER
TOBACCO USE COUNSELING 3,CURRENT SMOKER
TOBACCO USE COUNSELING-INPT,CURRENT SMOKER
TOBACCO USE COUNSELING-INPT REFUSED,CURRENT SMOKER
TOBACCO USE CURRENT SMOKER,CURRENT SMOKER
TOBACCO USE CURRENT USER2,CURRENT SMOKER
TOBACCO USE CURRENT USER3,CURRENT SMOKER
TOBACCO USE DENIED,unknown
Tobacco Use Education,CURRENT SMOKER
TOBACCO USE EDUCATION DECLINED,CURRENT SMOKER
TOBACCO USE F/U CONTACT,UNKNOWN
TOBACCO USE FU PLAN,UNKNOWN
TOBACCO USE GOAL,UNKNOWN
TOBACCO USE GOAL STATUS,UNKNOWN
TOBACCO USE HEAVY/MODERATE,CURRENT SMOKER
